model,manufacturer,type,cylinders,size,drive
tundra crewmax 4wd,toyota,pickup,8 cylinders,full-size,4wd
accord ex-l,honda,sedan,6 cylinders,mid-size,fwd
verano,buick,sedan,4 cylinders,compact,fwd
wrangler,jeep,offroad,6 cylinders,mid-size,4wd
f150 xlt,ford,truck,8 cylinders,full-size,4wd
mdx nighthawk ed awd,acura,SUV,6 cylinders,mid-size,fwd
rogue sl awd,nissan,SUV,4 cylinders,compact,4wd
f-100,ford,truck,8 cylinders,full-size,rwd
traverse awd 4dr ltz,chevrolet,SUV,6 cylinders,full-size,4wd
forester 2.5i limited,subaru,wagon,4 cylinders,mid-size,4wd
grand caravan sxt,dodge,van,6 cylinders,full-size,fwd
transit 150 cargo van,ford,van,6 cylinders,full-size,fwd
promaster 1500,ram,van,8 cylinders,full-size,rwd
soul base,kia,hatchback,4 cylinders,mid-size,fwd
f-250 4wd diesel 1owner rust free tx truck,ford,truck,8 cylinders,full-size,4wd
accord,honda,coupe,6 cylinders,compact,fwd
e-series cargo e-350 e350 s,ford,van,8 cylinders,full-size,rwd
glc-class,mercedes-benz,SUV,10 cylinders,full-size,4wd
300 zx turbo coupe,nissan,coupe,6 cylinders,compact,rwd
maxima,nissan,sedan,6 cylinders,full-size,fwd
sentra 2.0,nissan,sedan,4 cylinders,compact,fwd
super duty,ford,pickup,8 cylinders,compact,4wd
sierra 1500,gmc,pickup,8 cylinders,mid-size,rwd
sonata se limited,hyundai,sedan,4 cylinders,full-size,fwd
g35,infiniti,sedan,6 cylinders,mid-size,rwd
xf,jaguar,SUV,8 cylinders,full-size,rwd
tahoe lt z71 4x4,chevrolet,SUV,8 cylinders,full-size,4wd
solara,toyota,coupe,6 cylinders,sub-compact,fwd
pruis v,toyota,hatchback,4 cylinders,mid-size,fwd
elantra sport sedan 4d,hyundai,sedan,4 cylinders,compact,fwd
mkx,lincoln,SUV,6 cylinders,full-size,4wd
sti fully built,subaru,sedan,4 cylinders,mid-size,4wd
f-150 supercrew xlt 4x4,ford,truck,8 cylinders,full-size,4wd
mustang gt,ford,coupe,8 cylinders,compact,rwd
century,buick,coupe,6 cylinders,full-size,rwd
outback 2.5i premium,subaru,wagon,4 cylinders,full-size,4wd
f-350,ford,van,8 cylinders,full-size,rwd
ranger xlt,ford,pickup,6 cylinders,compact,4wd
f-350 xlt crew cab fx4,ford,pickup,8 cylinders,full-size,4wd
accent,hyundai,sedan,4 cylinders,mid-size,fwd
f250 super duty xl,ford,truck,8 cylinders,full-size,rwd
q45,infiniti,sedan,8 cylinders,mid-size,rwd
charger,dodge,sedan,8 cylinders,full-size,rwd
dakota,dodge,truck,8 cylinders,full-size,rwd
rdx,acura,SUV,6 cylinders,full-size,4wd
yukon xl,gmc,truck,8 cylinders,full-size,rwd
f150 f-150 4x4 4wd crew,ford,truck,6 cylinders,full-size,4wd
650i,bmw,hatchback,8 cylinders,full-size,4wd
frontier,nissan,truck,6 cylinders,full-size,rwd
santa fe,hyundai,SUV,6 cylinders,mid-size,fwd
1500 slt,ram,truck,8 cylinders,full-size,rwd
tundra crewmax 4wd trd,toyota,truck,8 cylinders,full-size,4wd
200 s,chrysler,sedan,4 cylinders,compact,fwd
6-series,bmw,convertible,8 cylinders,mid-size,rwd
500sl,mercedes-benz,convertible,8 cylinders,full-size,4wd
escalade luxury awd,cadillac,SUV,8 cylinders,full-size,4wd
e150 explorer,ford,van,8 cylinders,full-size,rwd
hhr lt,chevrolet,hatchback,4 cylinders,mid-size,fwd
firebird trans am,pontiac,hatchback,8 cylinders,mid-size,rwd
avalanche 1500,chevrolet,truck,8 cylinders,full-size,rwd
grand cherokee limited 4wd,jeep,SUV,6 cylinders,mid-size,4wd
k10 4x4,chevrolet,truck,8 cylinders,full-size,4wd
m3 convertible,bmw,convertible,6 cylinders,compact,rwd
370z coupe,nissan,coupe,6 cylinders,compact,rwd
ls,lincoln,sedan,6 cylinders,mid-size,rwd
sierra 2500hd 4x4,gmc,pickup,8 cylinders,full-size,4wd
camry se,toyota,sedan,4 cylinders,full-size,rwd
camaro rs,chevrolet,coupe,6 cylinders,mid-size,rwd
4runner 4x4,toyota,truck,4 cylinders,compact,4wd
escalade ext,cadillac,pickup,8 cylinders,full-size,4wd
outback awd 4dr. suv cars,subaru,SUV,4 cylinders,mid-size,4wd
jimmy sls rust free 4 dr,gmc,SUV,6 cylinders,mid-size,4wd
camaro z28,chevrolet,coupe,8 cylinders,mid-size,rwd
durango slt 4wd,dodge,SUV,8 cylinders,full-size,4wd
mirage,mitsubishi,hatchback,3 cylinders,compact,fwd
a4,audi,sedan,4 cylinders,mid-size,fwd
impala,chevrolet,coupe,6 cylinders,mid-size,fwd
s4,audi,sedan,8 cylinders,compact,4wd
3500 hd,ram,truck,8 cylinders,full-size,rwd
civic ex,honda,coupe,4 cylinders,compact,fwd
eos lux,volkswagen,convertible,4 cylinders,mid-size,fwd
grand cherokee laredo,jeep,SUV,8 cylinders,full-size,fwd
f150 xlt supercab,ford,truck,8 cylinders,full-size,rwd
f-350 f350,ford,pickup,8 cylinders,full-size,rwd
bronco eddie bauer,ford,SUV,8 cylinders,full-size,4wd
wrangler sahara,jeep,SUV,6 cylinders,full-size,4wd
ramm 2500,dodge,pickup,8 cylinders,full-size,4wd
focus,ford,sedan,4 cylinders,sub-compact,fwd
s60,volvo,sedan,5 cylinders,full-size,fwd
benz e550,mercedes-benz,convertible,8 cylinders,mid-size,rwd
matrix,toyota,wagon,4 cylinders,compact,4wd
rogue sport sl awd,nissan,SUV,4 cylinders,full-size,4wd
xc90 2.5t,volvo,SUV,5 cylinders,full-size,fwd
canyon extended cab pickup,gmc,pickup,6 cylinders,mid-size,4wd
yukon xl slt 1500,gmc,SUV,8 cylinders,full-size,rwd
3 i,mazda,sedan,4 cylinders,compact,fwd
town and country,chrysler,van,6 cylinders,full-size,rwd
svt focus,ford,hatchback,4 cylinders,sub-compact,fwd
g37 sport,infiniti,coupe,6 cylinders,compact,rwd
highlander xle awd,toyota,SUV,6 cylinders,full-size,4wd
es 330 sedan,lexus,sedan,6 cylinders,mid-size,fwd
sq5,audi,SUV,6 cylinders,mid-size,4wd
mark lt,lincoln,pickup,8 cylinders,full-size,4wd
accord lx,honda,coupe,4 cylinders,mid-size,fwd
benz s420,mercedes-benz,sedan,8 cylinders,full-size,rwd
635csi,bmw,coupe,6 cylinders,full-size,rwd
e-150,ford,van,8 cylinders,full-size,rwd
crv ex,honda,SUV,4 cylinders,mid-size,4wd
forester,subaru,wagon,4 cylinders,compact,4wd
tsx sedan,acura,sedan,4 cylinders,full-size,fwd
sonata se 4dr sedan,hyundai,sedan,4 cylinders,full-size,fwd
wrangler unlimited sahara,jeep,offroad,6 cylinders,full-size,4wd
cla-class,mercedes-benz,coupe,4 cylinders,compact,4wd
mountaineer,mercury,SUV,6 cylinders,full-size,4wd
f-150 xl 4x4,ford,pickup,8 cylinders,full-size,4wd
vigor,acura,sedan,5 cylinders,compact,fwd
4500 reg cab 4x4 fltbd,ram,truck,6 cylinders,full-size,4wd
c230,mercedes-benz,sedan,6 cylinders,mid-size,rwd
2500,gmc,pickup,8 cylinders,full-size,rwd
accent,hyundai,sedan,4 cylinders,compact,fwd
grand cherokee overland,jeep,SUV,6 cylinders,full-size,fwd
350z,nissan,coupe,6 cylinders,compact,rwd
535i,bmw,sedan,6 cylinders,full-size,4wd
g35x,infiniti,sedan,6 cylinders,full-size,4wd
genesis 5.0l r-spec,hyundai,sedan,8 cylinders,full-size,fwd
grand caravan sxt,dodge,mini-van,4 cylinders,full-size,fwd
e-series chassis e-350 sd,ford,other,8 cylinders,full-size,rwd
park avenue ultra,buick,sedan,6 cylinders,full-size,fwd
dts,cadillac,coupe,8 cylinders,full-size,fwd
commander,jeep,SUV,6 cylinders,full-size,rwd
ls 400,lexus,sedan,6 cylinders,full-size,rwd
rainier,buick,SUV,8 cylinders,full-size,4wd
outlander,mitsubishi,SUV,4 cylinders,mid-size,fwd
pacifica,chrysler,mini-van,6 cylinders,full-size,fwd
es 350,lexus,sedan,10 cylinders,compact,4wd
suburban,chevrolet,truck,8 cylinders,full-size,fwd
wrangler unlimited,jeep,offroad,6 cylinders,mid-size,4wd
cx-5,mazda,SUV,4 cylinders,mid-size,4wd
sierra 1500 z71,gmc,truck,8 cylinders,full-size,4wd
wrangler unlimited sahara,jeep,SUV,6 cylinders,sub-compact,4wd
roadmaster estate wagon,buick,wagon,8 cylinders,full-size,rwd
malibu maxx ls,chevrolet,hatchback,6 cylinders,mid-size,fwd
f-250 hd 7.3,ford,truck,8 cylinders,full-size,4wd
fj cruiser,toyota,SUV,6 cylinders,full-size,rwd
l300,saturn,sedan,6 cylinders,mid-size,fwd
santa fe,hyundai,SUV,6 cylinders,compact,4wd
patriot,jeep,SUV,4 cylinders,compact,4wd
big horn edition,ram,pickup,8 cylinders,full-size,4wd
silverado 2500hd ltz,chevrolet,pickup,8 cylinders,full-size,4wd
grand prix gtp,pontiac,sedan,6 cylinders,mid-size,fwd
nitro slt 4x4,dodge,SUV,6 cylinders,full-size,rwd
camaro rs,chevrolet,coupe,8 cylinders,mid-size,rwd
g35,infiniti,sedan,6 cylinders,full-size,rwd
tacoma prerunner,toyota,truck,6 cylinders,mid-size,rwd
ls 430,lexus,sedan,8 cylinders,full-size,fwd
gr cherokee special edition,jeep,SUV,8 cylinders,full-size,4wd
ex35,infiniti,hatchback,6 cylinders,mid-size,rwd
1500 big horn-sport,ram,pickup,8 cylinders,full-size,4wd
tahoe lt,chevrolet,SUV,8 cylinders,full-size,rwd
durango sport utility 4d,dodge,SUV,8 cylinders,mid-size,4wd
benz ml350 awd,mercedes-benz,SUV,6 cylinders,mid-size,4wd
lesabre limited 4dr sedan,buick,sedan,6 cylinders,full-size,rwd
f-250 xlt,ford,truck,8 cylinders,full-size,4wd
ranger xlt,ford,pickup,6 cylinders,full-size,4wd
camry,toyota,SUV,6 cylinders,full-size,fwd
ud1800,nissan,truck,6 cylinders,full-size,rwd
330ci convertible,bmw,convertible,6 cylinders,sub-compact,rwd
electra 225,buick,sedan,8 cylinders,full-size,rwd
excursion eddie bauer 4x4,ford,SUV,8 cylinders,full-size,4wd
escape,ford,SUV,6 cylinders,compact,4wd
yukon,gmc,SUV,8 cylinders,sub-compact,4wd
liberty sport,jeep,SUV,6 cylinders,mid-size,4wd
benz e320,mercedes-benz,sedan,6 cylinders,full-size,rwd
a6 3.0t prestige,audi,sedan,6 cylinders,full-size,4wd
4runner limited 4wd,toyota,SUV,6 cylinders,full-size,4wd
smart fortwo,mercedes-benz,hatchback,3 cylinders,sub-compact,rwd
cooper countryman,mini,coupe,4 cylinders,full-size,fwd
cla-class,mercedes-benz,sedan,4 cylinders,compact,4wd
335 coupe,bmw,coupe,6 cylinders,mid-size,rwd
tiguan 2.0t se sport,volkswagen,SUV,4 cylinders,compact,fwd
wrangler unlimited,jeep,SUV,8 cylinders,full-size,4wd
mkc,lincoln,SUV,4 cylinders,full-size,4wd
dakota,ram,truck,8 cylinders,full-size,4wd
srx,cadillac,SUV,6 cylinders,mid-size,4wd
silverado ls,chevrolet,truck,8 cylinders,full-size,rwd
f 350,ford,truck,8 cylinders,full-size,4wd
pt cruiser,chrysler,van,4 cylinders,compact,fwd
￼ accord vp￼ ￼,honda,sedan,4 cylinders,full-size,fwd
1500 slt,dodge,truck,8 cylinders,full-size,rwd
f150 king ranch 4x4,ford,truck,6 cylinders,full-size,4wd
silverado 1500 work truck,chevrolet,truck,8 cylinders,full-size,4wd
300m touring,chrysler,sedan,6 cylinders,full-size,rwd
genesis coupe 2.0 rspec,hyundai,coupe,4 cylinders,mid-size,rwd
ls 430,lexus,sedan,8 cylinders,full-size,rwd
express passenger,chevrolet,van,6 cylinders,full-size,rwd
e450,ford,bus,10 cylinders,full-size,rwd
w250,dodge,pickup,6 cylinders,full-size,4wd
4runner sr5 4x4,toyota,SUV,6 cylinders,mid-size,4wd
superchar,rover,SUV,8 cylinders,full-size,4wd
sienna,toyota,sedan,6 cylinders,full-size,fwd
patriot limited,jeep,SUV,4 cylinders,mid-size,4wd
lesabre estate wagon,buick,wagon,8 cylinders,full-size,rwd
focus s,ford,coupe,4 cylinders,compact,fwd
super deluxe convertible,ford,convertible,8 cylinders,full-size,rwd
altima,nissan,coupe,4 cylinders,mid-size,rwd
e-450 box truck,ford,van,8 cylinders,full-size,rwd
verano,buick,sedan,4 cylinders,compact,rwd
fiesta,ford,sedan,4 cylinders,full-size,fwd
3 series 328i coupe,bmw,coupe,6 cylinders,mid-size,rwd
civic cng,honda,sedan,4 cylinders,mid-size,fwd
freestyle,ford,SUV,6 cylinders,mid-size,fwd
a4 2.0t,audi,convertible,4 cylinders,mid-size,4wd
e150 hightop wheelchair van,ford,van,8 cylinders,full-size,rwd
express 1500 w/ doors,chevrolet,van,6 cylinders,full-size,rwd
sequoia limited,toyota,SUV,8 cylinders,full-size,4wd
3500 sport,ram,truck,6 cylinders,full-size,4wd
qx4,infiniti,SUV,6 cylinders,full-size,4wd
wrangler,jeep,offroad,6 cylinders,compact,4wd
sable,mercury,sedan,6 cylinders,full-size,fwd
expedition xlt 4x4,ford,SUV,8 cylinders,full-size,4wd
c-class,mercedes-benz,sedan,6 cylinders,compact,fwd
rogue,nissan,SUV,4 cylinders,full-size,rwd
f150 super cab,ford,pickup,8 cylinders,full-size,4wd
civic ex,honda,sedan,4 cylinders,full-size,4wd
3500 big horn,ram,truck,6 cylinders,full-size,4wd
3i sport,mazda,sedan,4 cylinders,mid-size,fwd
benz c230,mercedes-benz,sedan,6 cylinders,mid-size,rwd
impala,chevrolet,sedan,4 cylinders,compact,fwd
optima ex,kia,sedan,4 cylinders,mid-size,fwd
silverado 2500hd,chevrolet,pickup,8 cylinders,full-size,rwd
accord exl,honda,sedan,6 cylinders,mid-size,fwd
2500,ram,truck,6 cylinders,full-size,rwd
sl silverado 2500,gmc,truck,8 cylinders,full-size,rwd
cx-7,mazda,SUV,6 cylinders,full-size,4wd
impreza premium,subaru,sedan,4 cylinders,mid-size,4wd
dakota 2wd,dodge,pickup,6 cylinders,mid-size,fwd
freestyle,ford,SUV,6 cylinders,full-size,fwd
tsx,acura,sedan,4 cylinders,mid-size,fwd
c 300 luxury,mercedes-benz,sedan,6 cylinders,mid-size,rwd
e450,ford,van,8 cylinders,full-size,rwd
f150 super crew,ford,truck,8 cylinders,full-size,4wd
sierra,gmc,truck,8 cylinders,full-size,fwd
vibe,pontiac,hatchback,4 cylinders,full-size,fwd
e350 starcraft,ford,bus,10 cylinders,full-size,rwd
lx 450,lexus,SUV,6 cylinders,full-size,4wd
grand marquis ls premium,mercury,sedan,8 cylinders,full-size,rwd
cts coupe,cadillac,coupe,6 cylinders,mid-size,rwd
2500 laramie 4x4,ram,pickup,6 cylinders,full-size,4wd
land cruiser,toyota,offroad,6 cylinders,full-size,4wd
frontier crew cab,nissan,truck,6 cylinders,mid-size,4wd
express 2500,chevrolet,truck,8 cylinders,full-size,rwd
express 1500 cargo van,chevrolet,van,6 cylinders,full-size,rwd
escape,ford,SUV,6 cylinders,compact,fwd
c-class,mercedes-benz,sedan,6 cylinders,mid-size,rwd
ranger,ford,truck,6 cylinders,compact,rwd
150 reg cab,ram,truck,8 cylinders,compact,4wd
wrangler,jeep,offroad,6 cylinders,full-size,4wd
2,mazda,hatchback,4 cylinders,sub-compact,fwd
f-150,ford,other,6 cylinders,full-size,rwd
k-20 4x4,chevrolet,pickup,8 cylinders,full-size,4wd
wrangler s yj soft top,jeep,SUV,6 cylinders,full-size,4wd
rx 450,lexus,SUV,6 cylinders,full-size,4wd
express 2500 cargo,chevrolet,van,8 cylinders,full-size,rwd
f-150 platinum,ford,truck,6 cylinders,full-size,4wd
f350 dualy flat bed,ford,truck,8 cylinders,full-size,rwd
camry le,toyota,sedan,4 cylinders,compact,fwd
corrola,toyota,sedan,4 cylinders,mid-size,fwd
ranger,ford,SUV,6 cylinders,mid-size,4wd
armada sl,nissan,SUV,8 cylinders,full-size,4wd
x5 sdrive 35i,bmw,SUV,6 cylinders,full-size,rwd
f 150 stepside sport,ford,SUV,6 cylinders,full-size,fwd
optima sx turbo,kia,sedan,6 cylinders,full-size,fwd
x3 awd,bmw,SUV,6 cylinders,mid-size,4wd
elantra gt,hyundai,hatchback,4 cylinders,compact,fwd
srx4,cadillac,SUV,6 cylinders,full-size,4wd
tacoma,toyota,pickup,4 cylinders,full-size,rwd
b9 tribeca,subaru,SUV,6 cylinders,mid-size,4wd
excursion limited 4x4,ford,SUV,8 cylinders,full-size,4wd
nx 200t,lexus,SUV,4 cylinders,mid-size,4wd
911 carrera 4,porche,coupe,6 cylinders,compact,4wd
torrent fwd 4dr,pontiac,SUV,6 cylinders,mid-size,fwd
canyon,gmc,truck,6 cylinders,full-size,4wd
titan xd,nissan,truck,8 cylinders,full-size,4wd
mdx awd tech,acura,SUV,6 cylinders,mid-size,4wd
x-type,jaguar,sedan,6 cylinders,mid-size,4wd
murano sv,nissan,SUV,6 cylinders,full-size,4wd
300,chrysler,coupe,8 cylinders,full-size,rwd
rx330 awd,lexus,SUV,6 cylinders,compact,4wd
2500 4x4 / hemi 5.7l,ram,truck,8 cylinders,full-size,4wd
c63 amg 507,mercedes-benz,coupe,8 cylinders,compact,rwd
charger 5.7l hemi police c,dodge,sedan,8 cylinders,mid-size,rwd
cherokee,jeep,SUV,4 cylinders,compact,4wd
focus se,ford,hatchback,4 cylinders,compact,fwd
outback wagon limited leather new head gskets and timing belt,subaru,wagon,4 cylinders,mid-size,4wd
d150,dodge,pickup,8 cylinders,compact,rwd
sprinter 2500,dodge,van,5 cylinders,full-size,rwd
volt premier,chevrolet,sedan,4 cylinders,mid-size,fwd
jimmy c/k 1500,gmc,SUV,8 cylinders,full-size,4wd
explorer,ford,SUV,4 cylinders,full-size,4wd
suburban k1500,gmc,SUV,8 cylinders,full-size,4wd
sierra z71 sle 4x4,gmc,truck,8 cylinders,full-size,4wd
f150 4x4,ford,truck,6 cylinders,full-size,4wd
avalanche 1500,chevrolet,truck,8 cylinders,mid-size,4wd
town & country limited,chrysler,van,6 cylinders,full-size,fwd
aveo,chevrolet,hatchback,4 cylinders,compact,fwd
suburban 1500 ltz,chevrolet,SUV,8 cylinders,full-size,4wd
citation ii,chevrolet,sedan,6 cylinders,compact,rwd
beat,honda,convertible,3 cylinders,sub-compact,rwd
sentra sr turbo,nissan,sedan,4 cylinders,compact,fwd
sonoma crew cab 4x4,gmc,pickup,6 cylinders,compact,4wd
discovery ll,rover,SUV,8 cylinders,mid-size,4wd
cube sl,nissan,wagon,4 cylinders,compact,fwd
explorer,ford,SUV,10 cylinders,full-size,4wd
320i xdrive,bmw,sedan,4 cylinders,full-size,4wd
tercel,toyota,coupe,4 cylinders,compact,fwd
740li xdrive,bmw,sedan,6 cylinders,full-size,4wd
explorer xlt,ford,SUV,8 cylinders,mid-size,rwd
mustang,ford,coupe,4 cylinders,mid-size,rwd
e150 econoline cargo van,ford,van,8 cylinders,full-size,rwd
escape,ford,SUV,6 cylinders,full-size,4wd
mustang gt convertible,ford,convertible,8 cylinders,mid-size,rwd
protege5,mazda,sedan,4 cylinders,sub-compact,fwd
sierra 2500hd,gmc,pickup,6 cylinders,full-size,4wd
camaro ss,chevrolet,coupe,10 cylinders,mid-size,4wd
wrx,subaru,coupe,4 cylinders,compact,4wd
chevelle,chevrolet,convertible,8 cylinders,full-size,rwd
explorer sport trac,ford,truck,6 cylinders,mid-size,rwd
fusion s,ford,sedan,4 cylinders,full-size,fwd
accord,honda,coupe,4 cylinders,mid-size,fwd
1500 bighorn,ram,pickup,8 cylinders,full-size,rwd
328,bmw,sedan,6 cylinders,full-size,rwd
dary sxt,dodge,sedan,6 cylinders,compact,fwd
1500 quad cab,ram,pickup,8 cylinders,full-size,rwd
thunderbird,ford,coupe,8 cylinders,mid-size,rwd
silverado lt,chevrolet,pickup,8 cylinders,full-size,4wd
328i,bmw,sedan,6 cylinders,mid-size,rwd
apache c10,chevrolet,pickup,8 cylinders,full-size,rwd
cr-z,honda,coupe,4 cylinders,compact,fwd
camry,toyota,other,4 cylinders,mid-size,fwd
caliber sxt,dodge,sedan,4 cylinders,full-size,fwd
f150 supercrew cab fx4,ford,pickup,8 cylinders,full-size,4wd
4runner,toyota,SUV,8 cylinders,full-size,rwd
grand cherokee overland,jeep,SUV,8 cylinders,full-size,4wd
240z,datsun,coupe,6 cylinders,compact,rwd
sierra 2500hd slt,gmc,pickup,8 cylinders,full-size,4wd
charger police,dodge,sedan,8 cylinders,full-size,rwd
prius 4,toyota,hatchback,4 cylinders,compact,fwd
corvette z06,chevrolet,coupe,8 cylinders,full-size,rwd
cts 4,cadillac,wagon,6 cylinders,full-size,4wd
ats premium,cadillac,sedan,4 cylinders,full-size,rwd
300d,mercedes-benz,sedan,5 cylinders,full-size,rwd
tundra crew max 4wd,toyota,truck,8 cylinders,full-size,4wd
260z,datsun,other,6 cylinders,compact,rwd
sierra 2500hd,gmc,truck,8 cylinders,full-size,rwd
sierra 1500 crew sle rwd,gmc,truck,8 cylinders,full-size,rwd
m35x awd,infiniti,sedan,6 cylinders,full-size,4wd
accord,honda,coupe,4 cylinders,full-size,rwd
e-class,mercedes-benz,sedan,6 cylinders,mid-size,rwd
beetle,volkswagen,coupe,5 cylinders,mid-size,fwd
jx35,infiniti,SUV,6 cylinders,full-size,4wd
fiesta se hatchback,ford,hatchback,4 cylinders,compact,fwd
camaro convert,chevrolet,convertible,8 cylinders,mid-size,rwd
murano sl,nissan,SUV,4 cylinders,full-size,fwd
legacy outback,subaru,sedan,6 cylinders,mid-size,4wd
lw200,saturn,wagon,4 cylinders,mid-size,fwd
x3,bmw,SUV,6 cylinders,full-size,4wd
volt,chevrolet,sedan,4 cylinders,compact,fwd
is 250,lexus,sedan,6 cylinders,compact,rwd
x5 awd,bmw,SUV,4 cylinders,full-size,4wd
f250,ford,pickup,8 cylinders,full-size,rwd
insight hybrid,honda,hatchback,4 cylinders,sub-compact,fwd
5 series,bmw,sedan,6 cylinders,mid-size,rwd
cooper clubman,mini,wagon,4 cylinders,compact,fwd
mustang coupe 5-spd,ford,coupe,6 cylinders,full-size,rwd
dakota,dodge,pickup,6 cylinders,mid-size,4wd
f-150 4x4 truck f150 trucks,ford,pickup,8 cylinders,full-size,4wd
corvette,chevrolet,convertible,8 cylinders,compact,fwd
m5,bmw,sedan,8 cylinders,compact,rwd
excursion 4x4,ford,SUV,8 cylinders,full-size,4wd
pt cruiser,chrysler,hatchback,4 cylinders,compact,fwd
firebird formula,pontiac,coupe,8 cylinders,full-size,rwd
f150 supercrew cab,ford,truck,8 cylinders,full-size,rwd
h h r,chevrolet,sedan,4 cylinders,mid-size,fwd
sierra 1500 sle,gmc,pickup,8 cylinders,full-size,4wd
colorado,chevrolet,truck,6 cylinders,full-size,rwd
elantra gls,hyundai,sedan,4 cylinders,full-size,fwd
frontier se crew cab,nissan,truck,6 cylinders,full-size,4wd
beetle coupe,volkswagen,hatchback,4 cylinders,compact,fwd
corolla.le,toyota,sedan,4 cylinders,mid-size,fwd
mariner hybrid,mercury,SUV,4 cylinders,mid-size,4wd
prius ii,toyota,hatchback,4 cylinders,mid-size,fwd
five hundred,ford,sedan,6 cylinders,full-size,fwd
impreza,subaru,hatchback,4 cylinders,compact,4wd
stratus 4dr,dodge,sedan,4 cylinders,mid-size,fwd
f150 xlt crew 4x4,ford,truck,8 cylinders,full-size,4wd
highlander le,toyota,SUV,4 cylinders,mid-size,fwd
dakota,dodge,truck,8 cylinders,mid-size,rwd
flex limited awd,ford,SUV,6 cylinders,full-size,4wd
f350 super duty lariat,ford,truck,8 cylinders,full-size,4wd
passat se,volkswagen,sedan,5 cylinders,mid-size,fwd
sportage,kia,SUV,4 cylinders,mid-size,fwd
1500 laramie 4 x 4,ram,truck,8 cylinders,full-size,4wd
x5 3.0i awd,bmw,SUV,6 cylinders,full-size,4wd
fiesta,ford,sedan,4 cylinders,mid-size,fwd
qx56,infiniti,SUV,8 cylinders,full-size,4wd
p3500,chevrolet,truck,6 cylinders,full-size,rwd
tundra,toyota,truck,8 cylinders,mid-size,rwd
sierra slt 4x4,gmc,truck,8 cylinders,full-size,4wd
interceptor,ford,sedan,8 cylinders,full-size,rwd
f350 super duty,ford,truck,8 cylinders,full-size,4wd
tacoma,toyota,truck,4 cylinders,full-size,4wd
f-150,ford,truck,4 cylinders,full-size,4wd
titan,nissan,pickup,8 cylinders,full-size,rwd
sequoia limited 4x4,toyota,SUV,8 cylinders,full-size,4wd
325i sedan,bmw,sedan,6 cylinders,mid-size,rwd
f150 fx4 4x4,ford,truck,6 cylinders,full-size,4wd
4runner,toyota,SUV,4 cylinders,mid-size,rwd
f350 crew cab 4x4,ford,truck,8 cylinders,full-size,4wd
outlander,mitsubishi,SUV,6 cylinders,mid-size,fwd
outback 3.6 r wagon,subaru,wagon,6 cylinders,mid-size,4wd
1500 crew cab,ram,pickup,8 cylinders,full-size,4wd
mirage g4 es,mitsubishi,sedan,3 cylinders,sub-compact,fwd
gs 300,lexus,sedan,6 cylinders,mid-size,4wd
forester limited,subaru,wagon,4 cylinders,mid-size,4wd
accord lx,honda,sedan,4 cylinders,compact,rwd
expedition,ford,SUV,8 cylinders,mid-size,4wd
yaris hatchback,toyota,hatchback,4 cylinders,mid-size,fwd
beetle,volkswagen,coupe,4 cylinders,compact,rwd
outback awd,subaru,wagon,4 cylinders,full-size,4wd
f-250 super cab,ford,truck,8 cylinders,full-size,rwd
1500 quad cab 4x4,ram,truck,8 cylinders,full-size,4wd
s40,volvo,sedan,5 cylinders,full-size,fwd
westfalia,volkswagen,van,4 cylinders,mid-size,rwd
xc9o,volvo,SUV,6 cylinders,mid-size,4wd
tundra crewmax 1794,toyota,pickup,8 cylinders,full-size,rwd
durango 5.9 rt,dodge,SUV,8 cylinders,full-size,4wd
5500,ram,truck,8 cylinders,full-size,4wd
328xi,bmw,sedan,6 cylinders,mid-size,rwd
sonic lt,chevrolet,hatchback,4 cylinders,compact,fwd
altima 2.5 sv,nissan,sedan,4 cylinders,full-size,fwd
dakota crew cab,dodge,pickup,6 cylinders,mid-size,4wd
promaster cargo van,ram,van,4 cylinders,full-size,fwd
g37s coupe,infiniti,coupe,6 cylinders,compact,rwd
lx470 land cruiser,lexus,SUV,8 cylinders,full-size,4wd
wrangler,jeep,SUV,4 cylinders,compact,4wd
malibu ltz,chevrolet,sedan,6 cylinders,mid-size,fwd
cruze eco,chevrolet,sedan,4 cylinders,compact,fwd
gx 460,lexus,SUV,8 cylinders,full-size,rwd
328i hard top convertible - navi - leather and hea,bmw,convertible,6 cylinders,sub-compact,rwd
sierra 1500 denali,gmc,pickup,8 cylinders,full-size,4wd
f150 4 door,ford,truck,8 cylinders,full-size,4wd
ats,cadillac,sedan,other,full-size,rwd
rendevous,buick,SUV,6 cylinders,full-size,fwd
corvette grand sport,chevrolet,coupe,8 cylinders,mid-size,rwd
altima 2.5 s,nissan,coupe,4 cylinders,full-size,fwd
savana,gmc,truck,8 cylinders,full-size,rwd
scion tc,toyota,hatchback,4 cylinders,sub-compact,fwd
1500 hemi 5.7l big horn edition - running boar,ram,pickup,8 cylinders,full-size,rwd
monte carlo,chevrolet,coupe,6 cylinders,full-size,fwd
camaro rs,chevrolet,convertible,8 cylinders,full-size,rwd
2500 heavy duty 4x4,ram,truck,8 cylinders,compact,4wd
altima,nissan,coupe,6 cylinders,compact,fwd
express 3500 15 passenger,chevrolet,van,8 cylinders,full-size,rwd
300 srt8,chrysler,sedan,8 cylinders,full-size,rwd
civic ex,honda,sedan,4 cylinders,full-size,fwd
frontier sv 4x4,nissan,pickup,6 cylinders,mid-size,4wd
hhr,chevrolet,SUV,4 cylinders,mid-size,fwd
