model,manufacturer,type,cylinders,size,drive
tahoe ls,chevrolet,SUV,8 cylinders,full-size,rwd
jetta gli,volkswagen,sedan,4 cylinders,compact,fwd
sport,rover,SUV,6 cylinders,full-size,4wd
avalon,toyota,coupe,6 cylinders,full-size,fwd
taurus,ford,sedan,6 cylinders,mid-size,fwd
highlander limited,toyota,SUV,6 cylinders,mid-size,4wd
mustang gt convertible,ford,convertible,8 cylinders,compact,rwd
s550,mercedes-benz,sedan,8 cylinders,full-size,4wd
outback limited,subaru,wagon,4 cylinders,compact,4wd
impala,chevrolet,sedan,6 cylinders,full-size,fwd
tacoma,toyota,truck,6 cylinders,mid-size,4wd
rogue sport,nissan,SUV,4 cylinders,compact,fwd
focus zx5 se,ford,hatchback,4 cylinders,compact,fwd
es350,lexus,sedan,6 cylinders,mid-size,fwd
nova,chevrolet,coupe,8 cylinders,full-size,rwd
cherokee fwd 4dr latitude,jeep,SUV,4 cylinders,mid-size,fwd
ls,lincoln,sedan,6 cylinders,compact,rwd
outback,subaru,wagon,4 cylinders,mid-size,4wd
5 series,bmw,sedan,8 cylinders,compact,rwd
f-550,ford,truck,10 cylinders,full-size,rwd
frontier,nissan,truck,4 cylinders,full-size,rwd
concorde lxi,chrysler,sedan,6 cylinders,mid-size,fwd
five hundred,ford,sedan,6 cylinders,mid-size,fwd
civic,honda,coupe,4 cylinders,compact,fwd
wrangler,jeep,SUV,6 cylinders,full-size,fwd
odyssey ex-l,honda,mini-van,6 cylinders,full-size,fwd
rogue sv awd,nissan,SUV,4 cylinders,mid-size,4wd
mustang,ford,coupe,6 cylinders,full-size,rwd
4runner,toyota,SUV,8 cylinders,full-size,4wd
suburban,chevrolet,SUV,8 cylinders,full-size,4wd
cx-7,mazda,SUV,4 cylinders,compact,fwd
prius,toyota,hatchback,4 cylinders,mid-size,fwd
sienna le,toyota,van,6 cylinders,full-size,rwd
328i x-drive,bmw,sedan,6 cylinders,compact,4wd
durango,dodge,SUV,8 cylinders,full-size,4wd
f-250 super duty xl,ford,pickup,8 cylinders,full-size,rwd
c7c042,gmc,truck,6 cylinders,full-size,rwd
rogue,nissan,SUV,4 cylinders,full-size,4wd
cx-5,mazda,SUV,4 cylinders,full-size,rwd
silverado 1500 crew cab,chevrolet,pickup,8 cylinders,full-size,4wd
optima,kia,sedan,4 cylinders,mid-size,fwd
odyssey ex,honda,mini-van,6 cylinders,mid-size,fwd
tundra 4wd truck,toyota,truck,8 cylinders,full-size,4wd
fusion hybrid,ford,sedan,4 cylinders,mid-size,fwd
camaro,chevrolet,convertible,6 cylinders,mid-size,rwd
challenger,dodge,coupe,8 cylinders,full-size,rwd
f-350 super duty,ford,pickup,10 cylinders,full-size,4wd
dakota r/t,dodge,truck,8 cylinders,mid-size,4wd
m5,bmw,sedan,8 cylinders,mid-size,rwd
town car,lincoln,sedan,8 cylinders,full-size,rwd
f350 lariat,ford,truck,8 cylinders,full-size,4wd
sienna,toyota,van,6 cylinders,mid-size,fwd
tahoe ltz,chevrolet,SUV,8 cylinders,full-size,fwd
grand prix,pontiac,other,8 cylinders,full-size,rwd
avalon limited,toyota,sedan,6 cylinders,full-size,fwd
xc60,volvo,SUV,6 cylinders,mid-size,4wd
forester x,subaru,sedan,4 cylinders,full-size,4wd
tahoe,chevrolet,SUV,8 cylinders,full-size,4wd
murano,nissan,SUV,6 cylinders,full-size,4wd
scion tc trd,toyota,hatchback,4 cylinders,mid-size,fwd
express,chevrolet,truck,8 cylinders,full-size,rwd
528i,bmw,sedan,4 cylinders,full-size,rwd
escape limited,ford,SUV,6 cylinders,compact,fwd
vibe,pontiac,hatchback,4 cylinders,mid-size,fwd
edge,ford,SUV,6 cylinders,mid-size,fwd
